YEAR,MO,DY,HR,PRECTOTCORR,QV2M,T2M,PS,WS10M
2021,1,5,12,0,7.39,21.76,87.82,3.67
2021,1,5,13,0,7.32,22.15,87.73,4.31
2021,1,5,14,0,7.39,21.82,87.67,4.49
2021,1,5,15,0,7.93,20.84,87.62,3.87
2021,1,5,16,0,9.16,18.76,87.61,2.33
2021,1,5,17,0,8.42,15.91,87.64,1.8
2021,1,5,18,0,7.87,15.18,87.69,1.31
2021,1,5,19,0,7.63,14.83,87.75,1.36
2021,1,5,20,0,7.39,14.63,87.8,1.7
2021,1,5,21,0,7.08,14.65,87.82,1.79
2021,1,5,22,0,6.84,14.84,87.81,1.75
2021,1,5,23,0,6.59,14.97,87.77,1.62
2021,1,6,0,0,6.41,14.95,87.73,1.43
2021,1,6,1,0,6.23,14.99,87.7,1.27
2021,1,6,2,0,6.04,14.98,87.66,1.1
2021,1,6,3,0,5.92,14.62,87.62,1.1
2021,1,6,4,0,5.8,14.3,87.59,1.27
2021,1,6,5,0,5.62,14.14,87.61,1.41
2021,1,6,6,0,5.43,14.04,87.65,1.44
2021,1,6,7,0,5.49,14.48,87.7,1.31
2021,1,6,8,0,7.02,17.08,87.75,1.03
2021,1,6,9,0,6.65,19.84,87.79,1.83
2021,1,6,10,0,6.9,21.6,87.76,3.19
2021,1,6,11,0,6.96,22.64,87.67,4.25
2021,1,6,12,0,7.08,23.01,87.56,5.36
2021,1,6,13,0,7.14,22.9,87.47,5.88
2021,1,6,14,0,7.14,22.35,87.42,5.82
2021,1,6,15,0,7.26,21.28,87.39,5.19
2021,1,6,16,0,8.18,19.12,87.4,3.15
2021,1,6,17,0,8,15.34,87.41,2.15
2021,1,6,18,0,7.32,14.48,87.45,1.63
2021,1,6,19,0,6.96,14.01,87.5,1.4
2021,1,6,20,0,6.65,13.47,87.54,1.54
2021,1,6,21,0,6.35,13.15,87.56,1.67
2021,1,6,22,0,5.98,13.08,87.56,1.7
2021,1,6,23,0,5.68,12.98,87.53,1.57
2021,1,7,0,0,5.31,13.46,87.5,1.45
2021,1,7,1,0,5,14.11,87.47,1.37
2021,1,7,2,0,4.76,14.17,87.42,1.3
2021,1,7,3,0,4.64,14.16,87.38,1.29
2021,1,7,4,0,4.52,13.9,87.35,1.26
2021,1,7,5,0,4.39,13.75,87.37,1.18
2021,1,7,6,0,4.27,13.65,87.41,1.08
2021,1,7,7,0,4.39,14.05,87.48,0.94
2021,1,7,8,0,6.1,16.57,87.56,0.6
2021,1,7,9,0,6.04,19.57,87.65,1.58
2021,1,7,10,0,6.53,21.13,87.65,3.1
2021,1,7,11,0,6.59,22.13,87.58,3.86
2021,1,7,12,0,6.53,22.63,87.48,4.43
2021,1,7,13,0,6.47,22.66,87.4,4.83
2021,1,7,14,0,6.47,22.21,87.35,4.93
2021,1,7,15,0,6.59,21.17,87.32,4.52
2021,1,7,16,0,7.81,18.87,87.34,2.82
2021,1,7,17,0,7.57,14.96,87.37,2.17
2021,1,7,18,0,7.26,13.78,87.43,1.7
2021,1,7,19,0,7.14,13.31,87.48,1.31
2021,1,7,20,0,6.96,13,87.51,1.03
2021,1,7,21,0,6.77,12.86,87.53,0.73
2021,1,7,22,0,6.59,13,87.52,0.32
2021,1,7,23,0,6.35,12.58,87.52,0.85
2021,1,8,0,0,5.98,11.98,87.51,1.29
2021,1,8,1,0,5.62,11.8,87.49,1.48
2021,1,8,2,0,5.19,11.56,87.45,1.54
2021,1,8,3,0,4.82,11.13,87.4,1.49
2021,1,8,4,0,4.39,11.01,87.38,1.3
2021,1,8,5,0,4.09,10.89,87.39,1.24
2021,1,8,6,0,3.85,10.52,87.44,1.28
2021,1,8,7,0,3.97,11.09,87.52,1.28
2021,1,8,8,0,5.86,14.56,87.62,1.01
2021,1,8,9,0,5.98,17.52,87.69,1.26
2021,1,8,10,0,6.41,19.28,87.7,2.3
2021,1,8,11,0,6.53,20.4,87.62,3.26
2021,1,8,12,0,6.59,21.03,87.52,3.86
2021,1,8,13,0,6.71,21.23,87.44,4.1
2021,1,8,14,0,6.77,21.02,87.38,4.07
2021,1,8,15,0,6.84,20.22,87.36,3.81
2021,1,8,16,0,7.75,18.09,87.37,2.53
2021,1,8,17,0,7.45,14.22,87.39,1.88
2021,1,8,18,0,6.96,13.12,87.46,1.3
2021,1,8,19,0,6.65,12.94,87.52,0.77
2021,1,8,20,0,6.41,13.18,87.56,0.43
2021,1,8,21,0,6.29,13.2,87.58,0.56
2021,1,8,22,0,6.16,12.45,87.58,1.16
2021,1,8,23,0,5.98,11.61,87.55,1.48
2021,1,9,0,0,5.74,11.3,87.53,1.59
2021,1,9,1,0,5.49,11.21,87.52,1.62
2021,1,9,2,0,5.25,11.36,87.48,1.63
2021,1,9,3,0,4.94,11.99,87.44,1.58
2021,1,9,4,0,4.64,12.3,87.41,1.56
2021,1,9,5,0,4.39,12.2,87.42,1.59
2021,1,9,6,0,4.15,12.28,87.46,1.51
2021,1,9,7,0,4.15,12.96,87.5,1.34
2021,1,9,8,0,5.62,15.8,87.55,0.88
2021,1,9,9,0,5.43,19,87.6,1.52
2021,1,9,10,0,5.55,20.67,87.61,2.85
2021,1,9,11,0,5.62,21.81,87.54,3.81
2021,1,9,12,0,5.68,22.4,87.44,4.62
2021,1,9,13,0,5.8,22.48,87.34,5.01
2021,1,9,14,0,5.86,21.96,87.28,5.05
2021,1,9,15,0,6.1,20.79,87.25,4.52
2021,1,9,16,0,7.32,18.4,87.24,2.69
2021,1,9,17,0,7.08,14.63,87.27,1.8
2021,1,9,18,0,6.53,13.99,87.33,1.06
2021,1,9,19,0,6.35,13.97,87.41,0.49
2021,1,9,20,0,6.1,14.26,87.48,0.14
2021,1,9,21,0,6.1,13.65,87.52,0.7
2021,1,9,22,0,6.04,12.85,87.51,1.09
2021,1,9,23,0,5.8,12.67,87.47,1.31
2021,1,10,0,0,5.62,12.33,87.44,1.36
2021,1,10,1,0,5.37,12.01,87.42,1.47
2021,1,10,2,0,5.19,11.6,87.39,1.56
2021,1,10,3,0,4.88,11.56,87.35,1.57
2021,1,10,4,0,4.58,12.18,87.32,1.37
2021,1,10,5,0,4.33,12.47,87.34,1.08
2021,1,10,6,0,4.09,12.44,87.39,0.75
2021,1,10,7,0,4.21,12.52,87.45,0.54
2021,1,10,8,0,5.86,14.69,87.51,0.41
2021,1,10,9,0,6.16,17.48,87.58,1.24
2021,1,10,10,0,6.77,19.26,87.6,2.5
2021,1,10,11,0,7.14,20.44,87.53,3.46
2021,1,10,12,0,7.45,21.13,87.41,4.19
2021,1,10,13,0,7.63,21.33,87.31,4.66
2021,1,10,14,0,7.75,21.05,87.23,4.77
2021,1,10,15,0,7.81,20.22,87.2,4.5
2021,1,10,16,0,8.36,18.29,87.2,3.25
2021,1,10,17,0,8.36,14.4,87.25,1.86
2021,1,10,18,0,8,13.01,87.33,1.18
2021,1,10,19,0,7.75,12.8,87.4,0.71
2021,1,10,20,0,7.57,12.92,87.46,0.41
2021,1,10,21,0,7.39,12.9,87.49,0.34
2021,1,10,22,0,7.14,12.57,87.5,0.54
2021,1,10,23,0,6.9,12.3,87.49,0.67
2021,1,11,0,0,6.65,12.17,87.48,0.69
2021,1,11,1,0,6.41,12.03,87.49,0.63
2021,1,11,2,0,6.16,11.85,87.48,0.54
2021,1,11,3,0,5.98,11.57,87.45,0.49
2021,1,11,4,0,5.8,11.28,87.43,0.47
2021,1,11,5,0,5.62,10.94,87.45,0.41
2021,1,11,6,0,5.43,10.51,87.5,0.39
2021,1,11,7,0,5.43,10.8,87.56,0.46
2021,1,11,8,0,6.35,13.57,87.63,0.46
2021,1,11,9,0,6.29,16.35,87.71,1.58
2021,1,11,10,0,6.29,18.15,87.74,3.06
2021,1,11,11,0,6.41,19.19,87.68,4.01
2021,1,11,12,0,6.47,19.65,87.59,4.62
2021,1,11,13,0,6.59,19.66,87.51,4.82
2021,1,11,14,0,6.59,19.24,87.44,4.78
2021,1,11,15,0,6.59,18.3,87.4,4.4
2021,1,11,16,0,6.84,16.49,87.4,3.38
2021,1,11,17,0,7.02,12.61,87.43,1.92
2021,1,11,18,0,6.65,10.84,87.5,1.29
2021,1,11,19,0,6.41,10.32,87.55,0.99
2021,1,11,20,0,6.23,10.05,87.6,0.9
2021,1,11,21,0,6.04,9.71,87.64,0.74
2021,1,11,22,0,5.92,9.76,87.66,0.42
2021,1,11,23,0,5.8,9.51,87.65,0.19
2021,1,12,0,0,5.68,9.34,87.62,0.08
2021,1,12,1,0,5.49,9.33,87.59,0.05
2021,1,12,2,0,5.37,9.16,87.56,0.16
2021,1,12,3,0,5.25,8.58,87.52,0.38
2021,1,12,4,0,5.07,8.38,87.49,0.53
2021,1,12,5,0,4.94,8.3,87.51,0.6
2021,1,12,6,0,4.82,8.22,87.57,0.68
2021,1,12,7,0,4.82,8.74,87.63,0.76
2021,1,12,8,0,5.49,11.82,87.68,0.81
2021,1,12,9,0,5.25,14.67,87.74,1.94
2021,1,12,10,0,5.49,16.37,87.75,3.44
2021,1,12,11,0,5.68,17.32,87.68,4.29
2021,1,12,12,0,5.86,17.75,87.58,4.85
2021,1,12,13,0,5.92,17.74,87.5,4.99
2021,1,12,14,0,5.92,17.32,87.45,4.88
2021,1,12,15,0,5.86,16.33,87.42,4.59
2021,1,12,16,0,6.04,14.44,87.4,3.57
2021,1,12,17,0,6.23,10.63,87.44,2.14
2021,1,12,18,0,5.98,9.01,87.5,1.58
2021,1,12,19,0,5.8,8.31,87.55,1.22
2021,1,12,20,0,5.62,7.8,87.59,1.09
2021,1,12,21,0,5.37,7.62,87.61,0.99
2021,1,12,22,0,5.13,7.51,87.6,0.75
2021,1,12,23,0,4.88,7.55,87.58,0.62
2021,1,13,0,0,4.64,7.48,87.56,0.59
2021,1,13,1,0,4.33,7.48,87.55,0.59
2021,1,13,2,0,4.09,7.26,87.53,0.64
2021,1,13,3,0,3.85,7.48,87.49,0.45
2021,1,13,4,0,3.6,7.68,87.45,0.27
2021,1,13,5,0,3.48,7.52,87.46,0.33
2021,1,13,6,0,3.36,7.09,87.51,0.57
2021,1,13,7,0,3.48,7.24,87.57,0.73
2021,1,13,8,0,4.27,10.41,87.64,0.84
2021,1,13,9,0,3.66,13.39,87.7,1.97
2021,1,13,10,0,4.03,15.19,87.71,3.44
2021,1,13,11,0,4.27,16.21,87.63,4.35
2021,1,13,12,0,4.39,16.62,87.53,4.91
2021,1,13,13,0,4.46,16.52,87.44,5.1
2021,1,13,14,0,4.46,15.98,87.39,4.9
2021,1,13,15,0,4.46,14.9,87.35,4.47
2021,1,13,16,0,4.76,12.86,87.35,3.17
2021,1,13,17,0,5.07,9.08,87.39,1.84
2021,1,13,18,0,4.7,7.85,87.46,1.33
2021,1,13,19,0,4.52,7.59,87.53,1.16
2021,1,13,20,0,4.33,7.28,87.59,0.97
2021,1,13,21,0,4.21,7.04,87.64,0.8
2021,1,13,22,0,4.09,6.8,87.66,0.76
2021,1,13,23,0,4.03,6.5,87.65,0.72
2021,1,14,0,0,3.91,6.32,87.64,0.8
2021,1,14,1,0,3.85,6.24,87.62,0.94
2021,1,14,2,0,3.72,6.19,87.59,0.98
2021,1,14,3,0,3.66,6.21,87.55,1.01
2021,1,14,4,0,3.6,6.33,87.51,0.88
2021,1,14,5,0,3.54,6.46,87.53,0.83
2021,1,14,6,0,3.48,6.3,87.58,0.83
2021,1,14,7,0,3.6,6.56,87.65,0.87
2021,1,14,8,0,4.39,9.27,87.72,1
2021,1,14,9,0,3.97,12.12,87.8,2.35
2021,1,14,10,0,4.09,14.05,87.83,3.52
2021,1,14,11,0,4.27,15.24,87.75,4.11
2021,1,14,12,0,4.52,15.97,87.64,4.32
2021,1,14,13,0,4.76,16.27,87.54,4.34
2021,1,14,14,0,4.88,16.09,87.48,4.27
2021,1,14,15,0,4.94,15.38,87.44,4.07
2021,1,14,16,0,5.43,13.48,87.42,2.88
2021,1,14,17,0,5.49,9.66,87.45,1.81
2021,1,14,18,0,5.13,8.95,87.5,1.15
2021,1,14,19,0,4.88,8.75,87.54,0.92
2021,1,14,20,0,4.76,8.73,87.57,0.7
2021,1,14,21,0,4.64,8.64,87.6,0.49
2021,1,14,22,0,4.52,8.44,87.61,0.25
2021,1,14,23,0,4.39,8.18,87.58,0.4
2021,1,15,0,0,4.27,8.04,87.54,0.46
2021,1,15,1,0,4.15,8.06,87.5,0.38
2021,1,15,2,0,4.03,8.57,87.44,0.24
2021,1,15,3,0,3.91,8.92,87.37,0.25
2021,1,15,4,0,3.78,8.47,87.33,0.46
2021,1,15,5,0,3.72,7.89,87.35,0.61
2021,1,15,6,0,3.72,7.65,87.43,0.69
2021,1,15,7,0,3.78,7.88,87.52,0.69
2021,1,15,8,0,4.88,10.81,87.61,0.68
2021,1,15,9,0,4.46,13.91,87.68,1.93
2021,1,15,10,0,4.64,15.97,87.7,3.28
2021,1,15,11,0,4.82,17.11,87.64,4.1
2021,1,15,12,0,4.94,17.71,87.54,4.46
2021,1,15,13,0,5,17.89,87.45,4.41
2021,1,15,14,0,5,17.64,87.37,4.16
2021,1,15,15,0,5.07,16.78,87.32,3.75
2021,1,15,16,0,5.8,14.58,87.29,2.26
2021,1,15,17,0,5.62,10.69,87.31,1.55
2021,1,15,18,0,5.25,9.26,87.37,1.05
2021,1,15,19,0,5.07,8.77,87.42,0.81
2021,1,15,20,0,4.94,8.48,87.47,0.69
2021,1,15,21,0,4.82,8.21,87.49,0.52
2021,1,15,22,0,4.7,8.3,87.48,0.22
2021,1,15,23,0,4.58,8.4,87.44,0.22
2021,1,16,0,0,4.46,8.28,87.38,0.6
2021,1,16,1,0,4.39,8.29,87.35,0.7
2021,1,16,2,0,4.27,8.58,87.31,0.65
2021,1,16,3,0,4.15,8.62,87.27,0.61
2021,1,16,4,0,4.09,8.57,87.25,0.54
2021,1,16,5,0,3.97,8.68,87.26,0.47
2021,1,16,6,0,3.91,8.76,87.3,0.5
2021,1,16,7,0,3.91,9.11,87.33,0.53
2021,1,16,8,0,5,11.2,87.37,0.63
2021,1,16,9,0,4.33,14.31,87.43,2.34
2021,1,16,10,0,4.27,16.27,87.46,4.02
2021,1,16,11,0,4.46,17.3,87.4,5.03
2021,1,16,12,0,4.64,17.92,87.32,5.58
2021,1,16,13,0,4.76,17.92,87.24,5.51
2021,1,16,14,0,4.76,17.45,87.18,5.18
2021,1,16,15,0,4.76,16.37,87.15,4.66
2021,1,16,16,0,5.25,14.1,87.14,3.02
2021,1,16,17,0,5.37,10.16,87.18,2.04
2021,1,16,18,0,4.88,9.07,87.26,1.44
2021,1,16,19,0,4.64,8.78,87.34,1.19
2021,1,16,20,0,4.46,8.54,87.41,1.05
2021,1,16,21,0,4.27,8.4,87.46,0.84
2021,1,16,22,0,4.09,8.36,87.48,0.49
2021,1,16,23,0,3.97,8.24,87.48,0.06
2021,1,17,0,0,3.85,8,87.47,0.33
2021,1,17,1,0,3.66,7.9,87.47,0.53
2021,1,17,2,0,3.48,8.17,87.45,0.51
2021,1,17,3,0,3.36,7.83,87.43,0.44
2021,1,17,4,0,3.3,7.13,87.43,0.46
2021,1,17,5,0,3.17,6.85,87.48,0.51
2021,1,17,6,0,3.11,6.8,87.57,0.55
2021,1,17,7,0,3.23,7.25,87.67,0.61
2021,1,17,8,0,4.52,10.09,87.76,0.67
2021,1,17,9,0,3.54,13.44,87.87,1.97
2021,1,17,10,0,3.6,15.55,87.91,3.29
2021,1,17,11,0,3.85,16.74,87.87,4.01
2021,1,17,12,0,4.09,17.25,87.78,4.3
2021,1,17,13,0,4.27,17.33,87.71,4.1
2021,1,17,14,0,4.39,17.01,87.67,3.58
2021,1,17,15,0,4.46,16.15,87.65,3.01
2021,1,17,16,0,5.49,14.07,87.64,1.79
2021,1,17,17,0,5.13,11.19,87.66,0.98
2021,1,17,18,0,4.58,10.53,87.72,0.28
2021,1,17,19,0,4.39,10.37,87.77,0.76
2021,1,17,20,0,4.27,10.05,87.82,1.13
2021,1,17,21,0,4.15,9.83,87.83,1.26
2021,1,17,22,0,4.03,10.28,87.82,1.15
2021,1,17,23,0,3.97,10.51,87.78,0.98
2021,1,18,0,0,3.85,10.58,87.76,0.96
2021,1,18,1,0,3.72,10.59,87.74,1.02
2021,1,18,2,0,3.6,10.63,87.7,1.08
2021,1,18,3,0,3.48,10.66,87.65,1.09
2021,1,18,4,0,3.36,10.69,87.62,0.94
2021,1,18,5,0,3.3,10.82,87.64,0.78
2021,1,18,6,0,3.17,11.01,87.7,0.72
2021,1,18,7,0,3.23,11.59,87.76,0.66
2021,1,18,8,0,4.46,13.62,87.84,0.54
2021,1,18,9,0,4.21,16.17,87.91,1.87
2021,1,18,10,0,4.46,17.86,87.94,3.04
2021,1,18,11,0,4.82,18.98,87.88,3.79
2021,1,18,12,0,5.25,19.67,87.78,4.38
2021,1,18,13,0,5.55,19.7,87.68,4.58
2021,1,18,14,0,5.74,19.26,87.61,4.44
2021,1,18,15,0,5.86,18.3,87.55,4.23
2021,1,18,16,0,6.47,16.23,87.51,2.94
2021,1,18,17,0,6.53,12.26,87.53,1.97
2021,1,18,18,0,6.1,11.15,87.57,1.14
2021,1,18,19,0,5.92,10.83,87.61,0.6
2021,1,18,20,0,5.74,10.76,87.63,0.44
2021,1,18,21,0,5.62,10.63,87.64,0.46
2021,1,18,22,0,5.49,10.41,87.61,0.48
2021,1,18,23,0,5.37,10.18,87.55,0.56
2021,1,19,0,0,5.25,10.03,87.48,0.56
2021,1,19,1,0,5.13,9.98,87.43,0.58
2021,1,19,2,0,5.07,9.9,87.38,0.68
2021,1,19,3,0,4.94,9.69,87.33,0.72
2021,1,19,4,0,4.94,9.54,87.31,0.68
2021,1,19,5,0,4.88,9.6,87.33,0.52
2021,1,19,6,0,4.82,9.59,87.38,0.32
2021,1,19,7,0,4.88,9.75,87.44,0.15
2021,1,19,8,0,5.86,11.73,87.51,0.03
2021,1,19,9,0,5.74,13.84,87.59,1.73
2021,1,19,10,0,6.04,15.16,87.61,3.17
2021,1,19,11,0,6.29,16.08,87.55,4.11
2021,1,19,12,0,6.53,16.73,87.45,4.61
2021,1,19,13,0,6.65,16.93,87.35,4.73
2021,1,19,14,0,6.65,16.67,87.29,4.64
2021,1,19,15,0,6.53,16.06,87.25,4.32
2021,1,19,16,0,6.77,14.63,87.23,3.09
2021,1,19,17,0,6.77,11.25,87.24,2.05
2021,1,19,18,0,6.41,10.23,87.28,1.41
2021,1,19,19,0,6.23,9.82,87.32,0.84
2021,1,19,20,0,6.1,9.45,87.37,0.64
2021,1,19,21,0,5.98,9.51,87.4,0.59
2021,1,19,22,0,5.86,9.32,87.4,0.83
2021,1,19,23,0,5.74,9.21,87.33,0.98
2021,1,20,0,0,5.55,9.12,87.28,0.83
2021,1,20,1,0,5.37,8.95,87.24,0.72
2021,1,20,2,0,5.25,8.8,87.19,0.64
2021,1,20,3,0,5.07,8.59,87.14,0.48
2021,1,20,4,0,4.88,8.37,87.13,0.39
2021,1,20,5,0,4.76,7.7,87.17,0.4
2021,1,20,6,0,4.64,7.05,87.24,0.63
2021,1,20,7,0,4.64,7.57,87.32,0.73
2021,1,20,8,0,5.19,10.44,87.4,0.77
2021,1,20,9,0,5.25,12.88,87.47,1.82
2021,1,20,10,0,5.62,14.64,87.5,3.27
2021,1,20,11,0,6.04,15.82,87.43,4.29
2021,1,20,12,0,6.41,16.5,87.32,4.71
2021,1,20,13,0,6.65,16.46,87.21,4.77
2021,1,20,14,0,6.71,15.79,87.14,4.71
2021,1,20,15,0,6.71,14.92,87.11,4.43
2021,1,20,16,0,6.9,13.54,87.14,3.4
2021,1,20,17,0,7.08,11.28,87.2,2.04
2021,1,20,18,0,7.02,10.25,87.28,1.78
2021,1,20,19,0,6.9,9.87,87.32,1.55
2021,1,20,20,0,6.77,9.42,87.35,1.52
2021,1,20,21,0,6.65,9.03,87.36,1.57
2021,1,20,22,0,6.41,8.59,87.34,1.48
2021,1,20,23,0,6.23,8.28,87.31,1.27
2021,1,21,0,0,5.98,8.05,87.26,1.09
2021,1,21,1,0,5.68,7.75,87.23,1
2021,1,21,2,0,5.25,7.68,87.16,0.64
2021,1,21,3,0,5,7.46,87.09,0.42
2021,1,21,4,0,4.7,6.94,87.06,0.62
2021,1,21,5,0,4.46,6.45,87.08,0.59
2021,1,21,6,0,4.15,5.78,87.14,0.64
2021,1,21,7,0,4.15,6,87.21,0.79
2021,1,21,8,0,4.46,9.98,87.3,1.02
2021,1,21,9,0,3.91,13.3,87.38,2.3
2021,1,21,10,0,3.85,15.52,87.42,3.8
2021,1,21,11,0,3.91,16.76,87.38,5.23
2021,1,21,12,0,3.97,17.17,87.3,6.08
2021,1,21,13,0,4.09,17.07,87.25,6.14
2021,1,21,14,0,4.15,16.59,87.22,5.72
2021,1,21,15,0,4.15,15.6,87.23,5.11
2021,1,21,16,0,4.39,13.69,87.28,3.82
2021,1,21,17,0,4.82,9.63,87.34,2.17
2021,1,21,18,0,4.46,8.47,87.4,1.66
2021,1,21,19,0,4.27,7.75,87.45,1.19
2021,1,21,20,0,4.09,7.31,87.5,1.02
2021,1,21,21,0,3.97,7,87.54,1.02
2021,1,21,22,0,3.85,6.82,87.54,0.95
2021,1,21,23,0,3.72,6.6,87.53,0.83
2021,1,22,0,0,3.6,6.38,87.54,0.77
2021,1,22,1,0,3.54,6.11,87.55,0.68
2021,1,22,2,0,3.48,6.23,87.54,0.56
2021,1,22,3,0,3.42,6.06,87.52,0.5
2021,1,22,4,0,3.3,5.59,87.49,0.6
2021,1,22,5,0,3.23,5.39,87.5,0.74
2021,1,22,6,0,3.17,5.11,87.56,0.78
2021,1,22,7,0,3.36,5.69,87.65,0.74
2021,1,22,8,0,4.09,9.36,87.73,1.06
2021,1,22,9,0,3.66,12.41,87.8,2.66
2021,1,22,10,0,3.85,14.4,87.82,3.91
2021,1,22,11,0,4.09,15.58,87.76,4.55
2021,1,22,12,0,4.27,16.2,87.67,4.79
2021,1,22,13,0,4.46,16.39,87.58,4.63
2021,1,22,14,0,4.58,16.15,87.52,4.22
2021,1,22,15,0,4.64,15.29,87.48,3.64
2021,1,22,16,0,5.13,13.4,87.47,2.38
2021,1,22,17,0,5.25,9.76,87.49,1.51
2021,1,22,18,0,4.82,8.69,87.52,0.8
